,loss
0,2.692476749420166
1,1.91745948791504
2,0.8255153656005859
3,0.692999541759491
4,0.6928414702415466
5,0.6928427219390869
6,0.6932120323181152
7,0.6932029724121094
8,0.693124532699585
9,0.6930508017539978
10,0.6929605007171631
11,0.6928016543388367
12,0.6925750970840454
13,0.6922277212142944
14,0.6918637156486511
15,0.690977156162262
16,0.6902387738227844
17,0.6886870861053467
18,0.6868735551834106
19,0.6844386458396912
20,0.6812628507614136
21,0.6768123507499695
22,0.6734714508056641
23,0.6665722727775574
24,0.662883460521698
25,0.6575209498405457
26,0.6521493196487427
27,0.6483584642410278
28,0.6504459977149963
29,0.6421966552734375
30,0.6373903155326843
31,0.6363193988800049
32,0.631077766418457
33,0.6356959342956543
34,0.6293993592262268
35,0.6326643228530884
36,0.6290625333786011
37,0.6353678107261658
38,0.6349169611930847
39,0.6307740211486816
40,0.6320667862892151
41,0.6259511113166809
42,0.6258105039596558
43,0.6219181418418884
44,0.6238696575164795
45,0.6215430498123169
46,0.6175521612167358
47,0.6168731451034546
48,0.6233184933662415
49,0.6203324794769287
50,0.6228983998298645
51,0.6200889348983765
52,0.6131500601768494
53,0.6174283623695374
54,0.6173833608627319
55,0.6107416749000549
56,0.6161020994186401
57,0.6098634600639343
58,0.6080631613731384
59,0.6110246181488037
60,0.6225742101669312
61,0.6155574321746826
62,0.6162088513374329
63,0.612252414226532
64,0.6105673313140869
65,0.6173255443572998
66,0.6043297052383423
67,0.6105535626411438
68,0.6101104021072388
69,0.6105722188949585
70,0.6121851801872253
71,0.6152446866035461
72,0.6084169149398804
73,0.6014081835746765
74,0.6032299399375916
75,0.6105551719665527
76,0.6043201684951782
77,0.6093205809593201
78,0.6040802001953125
79,0.6004155874252319
80,0.5971537828445435
81,0.599139392375946
82,0.5995129346847534
83,0.5942943692207336
84,0.6058005690574646
85,0.6097877025604248
86,0.6018136143684387
87,0.6046525239944458
88,0.5984846949577332
89,0.6058078408241272
90,0.5977160930633545
91,0.602336049079895
92,0.5989328026771545
93,0.6073048710823059
94,0.6095868945121765
95,0.6004953980445862
96,0.6044028401374817
97,0.5990341305732727
98,0.5980108380317688
99,0.6023746132850647
100,0.5976746082305908
101,0.5914338827133179
102,0.5999969244003296
103,0.6022334694862366
104,0.597186267375946
105,0.5993290543556213
106,0.5905616879463196
107,0.5931546688079834
108,0.5964357256889343
109,0.5988852977752686
110,0.5942813158035278
111,0.6011379957199097
112,0.6010391712188721
113,0.5917786359786987
114,0.5869272351264954
115,0.5956540703773499
116,0.5872923731803894
117,0.5849617719650269
118,0.5912047624588013
119,0.5899844765663147
120,0.5881421566009521
121,0.5862459540367126
122,0.5950077176094055
123,0.587838888168335
124,0.5877596139907837
